CURRENCY,APPL_DATE,STD_RATE,USD_CONV_DATE
CNY,20160101,181.48,0.1541
JPY,20160101,976.99,0.8294
USD,20160101,1178,1
CNY,20160102,181.48,0.1541
JPY,20160102,976.99,0.8294
USD,20160102,1178,1
CNY,20160103,181.48,0.1541
JPY,20160103,976.99,0.8294
USD,20160103,1178,1
CNY,20160104,181.1,0.154
JPY,20160104,992.62,0.8384
USD,20160104,1184,1
CNY,20160105,181.94,0.153
JPY,20160105,993,0.838
USD,20160105,1185,1
CNY,20160106,182.61,0.1533
JPY,20160106,1005.06,0.8439
USD,20160106,1191,1
CNY,20160107,183.03,0.1525
JPY,20160107,1016.95,0.8475
USD,20160107,1200,1
CNY,20160108,181.56,0.1517
JPY,20160108,1013.12,0.8464
USD,20160108,1197,1
CNY,20160109,181.56,0.1517
JPY,20160109,1013.12,0.8464
USD,20160109,1197,1
CNY,20160110,181.56,0.1517
JPY,20160110,1013.12,0.8464
USD,20160110,1197,1
CNY,20160111,182.98,0.1516
JPY,20160111,1028.55,0.8522
USD,20160111,1207,1
CNY,20160112,183.43,0.1522
JPY,20160112,1027.32,0.8497
USD,20160112,1209,1
CNY,20160113,184.11,0.1522
JPY,20160113,1020.3,0.846
USD,20160113,1206,1
CNY,20160114,183.87,0.1521
JPY,20160114,1031.29,0.8502
USD,20160114,1213,1
CNY,20160115,183.31,0.1517
JPY,20160115,1030.52,0.8503
USD,20160115,1212,1
CNY,20160116,183.31,0.1517
JPY,20160116,1030.52,0.8503
USD,20160116,1212,1
CNY,20160117,183.31,0.1517
JPY,20160117,1030.52,0.8503
USD,20160117,1212,1
CNY,20160118,184.37,0.1519
JPY,20160118,1034.85,0.8552
USD,20160118,1210,1
CNY,20160119,183.93,0.152
JPY,20160119,1022.9,0.8482
USD,20160119,1206,1
CNY,20160120,183.48,0.152
JPY,20160120,1038.33,0.8574
USD,20160120,1211,1
CNY,20160121,183.79,0.152
JPY,20160121,1037.28,0.8551
USD,20160121,1213,1
CNY,20160122,182.98,0.152
JPY,20160122,1018.59,0.8488
USD,20160122,1200,1
CNY,20160123,182.98,0.152
JPY,20160123,1018.59,0.8488
USD,20160123,1200,1
CNY,20160124,182.98,0.152
JPY,20160124,1018.59,0.8488
USD,20160124,1200,1
CNY,20160125,182.1,0.152
JPY,20160125,1005.69,0.8423
USD,20160125,1194,1
CNY,20160126,182.24,0.152
JPY,20160126,1020.62,0.8484
USD,20160126,1203,1
CNY,20160127,182,0.1519
JPY,20160127,1015.42,0.8448
USD,20160127,1202,1
CNY,20160128,183.65,0.152
JPY,20160128,1018.51,0.8431
USD,20160128,1208,1
CNY,20160129,183.57,0.1521
JPY,20160129,992.14,0.8275
USD,20160129,1199,1
CNY,20160130,183.57,0.1521
JPY,20160130,992.14,0.8275
USD,20160130,1199,1
CNY,20160131,183.57,0.1521
JPY,20160131,992.14,0.8275
USD,20160131,1199,1
CNY,20160201,183.4,0.1521
JPY,20160201,989.91,0.8236
USD,20160201,1202,1
CNY,20160202,182.88,0.152
JPY,20160202,1002.49,0.8306
USD,20160202,1207,1
CNY,20160203,184.21,0.152
JPY,20160203,1018.49,0.8348
USD,20160203,1220,1
CNY,20160204,182.61,0.152
JPY,20160204,1018.27,0.8479
USD,20160204,1201,1
CNY,20160205,181.73,0.1523
JPY,20160205,1024.52,0.8559
USD,20160205,1197,1
CNY,20160206,181.73,0.1523
JPY,20160206,1024.52,0.8559
USD,20160206,1197,1
CNY,20160207,181.73,0.1523
JPY,20160207,1024.52,0.8559
USD,20160207,1197,1
CNY,20160208,181.73,0.1523
JPY,20160208,1024.52,0.8559
USD,20160208,1197,1
CNY,20160209,181.73,0.1523
JPY,20160209,1024.52,0.8559
USD,20160209,1197,1
CNY,20160210,181.73,0.1523
JPY,20160210,1024.52,0.8559
USD,20160210,1197,1
CNY,20160211,181.02,0.1521
JPY,20160211,1069.59,0.8898
USD,20160211,1202,1
CNY,20160212,182.55,0.1521
JPY,20160212,1078.09,0.8925
USD,20160212,1208,1
CNY,20160213,182.55,0.1521
JPY,20160213,1078.09,0.8925
USD,20160213,1208,1
CNY,20160214,182.55,0.1521
JPY,20160214,1078.09,0.8925
USD,20160214,1208,1
CNY,20160215,183.61,0.1521
JPY,20160215,1066.16,0.8804
USD,20160215,1211,1
CNY,20160216,186.42,0.1539
JPY,20160216,1065.33,0.8739
USD,20160216,1219,1
CNY,20160217,187.06,0.1535
JPY,20160217,1079.16,0.8795
USD,20160217,1227,1
CNY,20160218,187.5,0.1532
JPY,20160218,1076.01,0.8762
USD,20160218,1228,1
CNY,20160219,188.69,0.1534
JPY,20160219,1093.78,0.8864
USD,20160219,1234,1
CNY,20160220,188.69,0.1534
JPY,20160220,1093.78,0.8864
USD,20160220,1234,1
CNY,20160221,188.69,0.1534
JPY,20160221,1093.78,0.8864
USD,20160221,1234,1
CNY,20160222,189.05,0.1533
JPY,20160222,1091.63,0.8853
USD,20160222,1233,1
CNY,20160223,187.68,0.1533
JPY,20160223,1095.6,0.8893
USD,20160223,1232,1
CNY,20160224,188.76,0.1532
JPY,20160224,1103.52,0.8928
USD,20160224,1236,1
CNY,20160225,188.78,0.1531
JPY,20160225,1100.04,0.8893
USD,20160225,1237,1
CNY,20160226,189.18,0.1531
JPY,20160226,1094.73,0.8857
USD,20160226,1236,1
CNY,20160227,189.18,0.1531
JPY,20160227,1094.73,0.8857
USD,20160227,1236,1
CNY,20160228,189.18,0.1531
JPY,20160228,1094.73,0.8857
USD,20160228,1236,1
CNY,20160229,190.05,0.1529
JPY,20160229,1097.92,0.8861
USD,20160229,1239,1
CNY,20160301,190.05,0.1529
JPY,20160301,1097.92,0.8861
USD,20160301,1239,1
CNY,20160302,187.73,0.1526
JPY,20160302,1078.81,0.8771
USD,20160302,1230,1
CNY,20160303,187.15,0.1527
JPY,20160303,1067.48,0.8764
USD,20160303,1218,1
CNY,20160304,185.57,0.1531
JPY,20160304,1060.5,0.8794
USD,20160304,1206,1
CNY,20160305,185.57,0.1531
JPY,20160305,1060.5,0.8794
USD,20160305,1206,1
CNY,20160306,185.57,0.1531
JPY,20160306,1060.5,0.8794
USD,20160306,1206,1
CNY,20160307,184.08,0.1537
JPY,20160307,1055.82,0.8784
USD,20160307,1202,1
CNY,20160308,184.3,0.1535
JPY,20160308,1067.69,0.886
USD,20160308,1205,1
CNY,20160309,186.02,0.1537
JPY,20160309,1077.63,0.8877
USD,20160309,1214,1
CNY,20160310,185.79,0.1535
JPY,20160310,1059.94,0.8789
USD,20160310,1206,1
CNY,20160311,185.3,0.1536
JPY,20160311,1055.38,0.8839
USD,20160311,1194,1
CNY,20160312,185.3,0.1536
JPY,20160312,1055.38,0.8839
USD,20160312,1194,1
CNY,20160313,185.3,0.1536
JPY,20160313,1055.38,0.8839
USD,20160313,1194,1
CNY,20160314,182.91,0.154
JPY,20160314,1041.02,0.8792
USD,20160314,1184,1
CNY,20160315,183.08,0.1538
JPY,20160315,1046.41,0.8823
USD,20160315,1186,1
CNY,20160316,183.44,0.1535
JPY,20160316,1052.45,0.8837
USD,20160316,1191,1
CNY,20160317,180.93,0.1533
JPY,20160317,1047.29,0.8906
USD,20160317,1176,1
CNY,20160318,178.54,0.1544
JPY,20160318,1041.76,0.8981
USD,20160318,1160,1
CNY,20160319,178.54,0.1544
JPY,20160319,1041.76,0.8981
USD,20160319,1160,1
CNY,20160320,178.54,0.1544
JPY,20160320,1041.76,0.8981
USD,20160320,1160,1
CNY,20160321,179.87,0.1545
JPY,20160321,1043.53,0.8965
USD,20160321,1164,1
CNY,20160322,179.04,0.1542
JPY,20160322,1032.21,0.8921
USD,20160322,1157,1
CNY,20160323,178.28,0.1541
JPY,20160323,1034.02,0.8906
USD,20160323,1161,1
CNY,20160324,179.68,0.1537
JPY,20160324,1036.25,0.8895
USD,20160324,1165,1
CNY,20160325,179.45,0.1535
JPY,20160325,1032.23,0.883
USD,20160325,1169,1
CNY,20160326,179.45,0.1535
JPY,20160326,1032.23,0.883
USD,20160326,1169,1
CNY,20160327,179.45,0.1535
JPY,20160327,1032.23,0.883
USD,20160327,1169,1
CNY,20160328,179.41,0.1535
JPY,20160328,1031.46,0.8823
USD,20160328,1169,1
CNY,20160329,179.18,0.1537
JPY,20160329,1024.65,0.8818
USD,20160329,1162,1
CNY,20160330,177.83,0.1537
JPY,20160330,1026.9,0.8906
USD,20160330,1153,1
CNY,20160331,176.96,0.1547
JPY,20160331,1017.57,0.8895
USD,20160331,1144,1
